"ID","STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY","CREATED_AT","UPDATED_AT"
228,,"2",rtw_st_ass,rtw_s49_gen,rtw_panel_2_EZ,"60.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
229,,"2",rtw_st_ass,rtw_s49_gen,rtw_panel_2_NSCMH,"90.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
230,,"2",rtw_st_ass,rtw_s49_gen,rtw_panel_2_BAINS,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
231,,"2",rtw_st_fun,rtw_s64_bas,rtw_panel_2_SINAR,"95.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
232,,"2",rtw_st_fun,rtw_s64_bas,rtw_panel_2_BAINS,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
233,,"2",rtw_st_dry,rtw_s76_dry,rtw_panel_2_BAINS,"40.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
234,,"2",rtw_st_sbm,rtw_s77_bas,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
235,,"2",rtw_st_sbm,rtw_s79_bas,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
236,,"2",rtw_st_sbm,rtw_s82_bas,rtw_panel_2_PUTRA,"10.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
237,,"2",rtw_st_sbm,rtw_s104_bas,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
238,,"2",rtw_st_sbm,rtw_s105_bas,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
239,,"2",rtw_st_sbm,rtw_s107_bas,rtw_panel_2_SINAR,"53.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
240,,"2",rtw_st_sbm,rtw_s107_bas,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
241,,"2",rtw_st_sbm,rtw_s109_bas,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
242,,"2",rtw_st_sbm,rtw_s114_bas,rtw_panel_2_PUTRA,"5.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
243,,"2",rtw_st_sbm,rtw_s111_bas,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
244,,"2",rtw_st_sbm,rtw_s113_bas,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
245,,"2",rtw_st_sbm,rtw_s115_bas,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
246,,"2",rtw_st_sbm,rtw_s137_adv,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
247,,"2",rtw_st_sbp,rtw_s139_pak,rtw_panel_2_SINAR,"45.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
248,,"2",rtw_st_sbp,rtw_s139_pak,rtw_panel_2_JB,"70.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
249,,"2",rtw_st_sbp,rtw_s139_pak,rtw_panel_2_BP,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
250,,"2",rtw_st_sbp,rtw_s139_pak,rtw_panel_2_HOSPITAL,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
251,,"2",rtw_st_sbp,rtw_s139_pak,rtw_panel_2_MAHARANI,"50.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
252,,"2",rtw_st_sbp,rtw_s139_pak,rtw_panel_2_MAWAR,"90.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
